Class,Package,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
AbstractBagDecorator.java,org.apache.commons.collections4.bag,7,0,3,1,0,11,63.63636363636363
AbstractBidiMapDecorator.java,org.apache.commons.collections4.bidimap,0,0,5,1,0,6,0.0
AbstractBitwiseTrie.java,org.apache.commons.collections4.trie,1,0,26,13,0,40,2.5
AbstractCollectionDecorator.java,org.apache.commons.collections4.collection,23,0,0,3,0,26,88.46153846153845
AbstractDualBidiMap.java,org.apache.commons.collections4.bidimap,11,0,91,11,0,113,9.734513274336283
AbstractEmptyIterator.java,org.apache.commons.collections4.iterators,3,0,0,0,0,3,100.0
AbstractHashedMap.java,org.apache.commons.collections4.map,96,0,105,46,1,248,38.70967741935484
AbstractInputCheckedMapDecorator.java,org.apache.commons.collections4.map,9,0,8,4,0,21,42.857142857142854
AbstractIterableGetMapDecorator.java,org.apache.commons.collections4.splitmap,13,0,5,3,0,21,61.904761904761905
AbstractIterableMap.java,org.apache.commons.collections4.map,0,0,1,0,0,1,0.0
AbstractIteratorDecorator.java,org.apache.commons.collections4.iterators,1,0,0,0,0,1,100.0
AbstractKeyValue.java,org.apache.commons.collections4.keyvalue,3,0,0,2,0,5,60.0
AbstractLinkedList.java,org.apache.commons.collections4.list,0,0,241,0,0,241,0.0
AbstractLinkedMap.java,org.apache.commons.collections4.map,23,0,56,1,0,80,28.749999999999996
AbstractListDecorator.java,org.apache.commons.collections4.list,14,0,0,2,0,16,87.5
AbstractListIteratorDecorator.java,org.apache.commons.collections4.iterators,12,0,0,1,0,13,92.3076923076923
AbstractListValuedMap.java,org.apache.commons.collections4.multimap,4,0,39,0,0,43,9.30232558139535
AbstractMapBag.java,org.apache.commons.collections4.bag,68,0,48,21,0,137,49.63503649635037
AbstractMapDecorator.java,org.apache.commons.collections4.map,22,0,0,1,0,23,95.65217391304348
AbstractMapEntry.java,org.apache.commons.collections4.keyvalue,12,0,1,3,0,16,75.0
AbstractMapEntryDecorator.java,org.apache.commons.collections4.keyvalue,5,0,6,0,0,11,45.45454545454545
AbstractMapIteratorDecorator.java,org.apache.commons.collections4.iterators,0,0,9,0,0,9,0.0
AbstractMapMultiSet.java,org.apache.commons.collections4.multiset,15,0,73,10,2,100,15.0
AbstractMultiSet.java,org.apache.commons.collections4.multiset,0,0,95,1,0,96,0.0
AbstractMultiSetDecorator.java,org.apache.commons.collections4.multiset,2,0,9,0,0,11,18.181818181818183
AbstractMultiValuedMap.java,org.apache.commons.collections4.multimap,13,0,165,6,0,184,7.065217391304348
AbstractMultiValuedMapDecorator.java,org.apache.commons.collections4.multimap,2,0,32,2,0,36,5.555555555555555
AbstractNavigableSetDecorator.java,org.apache.commons.collections4.set,0,0,12,0,0,12,0.0
AbstractOrderedBidiMapDecorator.java,org.apache.commons.collections4.bidimap,0,0,6,1,0,7,0.0
AbstractOrderedMapDecorator.java,org.apache.commons.collections4.map,4,0,1,1,0,6,66.66666666666666
AbstractOrderedMapIteratorDecorator.java,org.apache.commons.collections4.iterators,0,0,12,0,0,12,0.0
AbstractPatriciaTrie.java,org.apache.commons.collections4.trie,0,0,452,74,0,526,0.0
AbstractPropertiesFactory.java,org.apache.commons.collections4.properties,12,0,13,7,0,32,37.5
AbstractQuantifierPredicate.java,org.apache.commons.collections4.functors,0,0,1,0,0,1,0.0
AbstractQueueDecorator.java,org.apache.commons.collections4.queue,2,0,5,0,0,7,28.57142857142857
AbstractReferenceMap.java,org.apache.commons.collections4.map,0,0,155,0,0,155,0.0
AbstractSerializableListDecorator.java,org.apache.commons.collections4.list,1,0,0,3,0,4,25.0
AbstractSerializableSetDecorator.java,org.apache.commons.collections4.set,1,0,0,3,0,4,25.0
AbstractSetDecorator.java,org.apache.commons.collections4.set,5,0,0,0,0,5,100.0
AbstractSetValuedMap.java,org.apache.commons.collections4.multimap,0,0,12,0,0,12,0.0
AbstractSortedBagDecorator.java,org.apache.commons.collections4.bag,1,0,3,0,0,4,25.0
AbstractSortedBidiMapDecorator.java,org.apache.commons.collections4.bidimap,0,0,6,1,0,7,0.0
AbstractSortedMapDecorator.java,org.apache.commons.collections4.map,1,0,14,0,0,15,6.666666666666667
AbstractSortedSetDecorator.java,org.apache.commons.collections4.set,0,0,7,0,0,7,0.0
AbstractUntypedIteratorDecorator.java,org.apache.commons.collections4.iterators,5,0,0,0,0,5,100.0
AllPredicate.java,org.apache.commons.collections4.functors,14,0,0,0,0,14,100.0
AndPredicate.java,org.apache.commons.collections4.functors,6,0,1,0,0,7,85.71428571428571
AnyPredicate.java,org.apache.commons.collections4.functors,13,0,1,0,0,14,92.85714285714286
ArrayIterator.java,org.apache.commons.collections4.iterators,14,0,3,0,0,17,82.35294117647058
ArrayListIterator.java,org.apache.commons.collections4.iterators,17,0,0,0,0,17,100.0
ArrayListValuedHashMap.java,org.apache.commons.collections4.multimap,1,0,6,0,0,7,14.285714285714285
ArrayStack.java,org.apache.commons.collections4,0,0,27,0,0,27,0.0
ArrayUtils.java,org.apache.commons.collections4,9,0,5,3,0,17,52.94117647058824
BagUtils.java,org.apache.commons.collections4,8,0,3,0,0,11,72.72727272727273
BooleanComparator.java,org.apache.commons.collections4.comparators,12,0,3,2,0,17,70.58823529411765
BoundedIterator.java,org.apache.commons.collections4.iterators,26,0,0,0,0,26,100.0
