Class,Package,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
AbsoluteNameLocationStrategy.java,org.apache.commons.configuration2.io,4,0,0,0,4,100.0
AbstractConfiguration.java,org.apache.commons.configuration2,207,3,7,3,220,94.0909090909091
AbstractHierarchicalConfiguration.java,org.apache.commons.configuration2,87,0,4,0,91,95.6043956043956
AbstractImmutableNodeHandler.java,org.apache.commons.configuration2.tree,22,0,0,0,22,100.0
AbstractListDelimiterHandler.java,org.apache.commons.configuration2.convert,25,1,0,0,26,96.15384615384616
AbstractYAMLBasedConfiguration.java,org.apache.commons.configuration2,13,0,3,0,16,81.25
AppletConfiguration.java,org.apache.commons.configuration2.web,0,5,0,0,5,0.0
AutoSaveListener.java,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0
BaseConfiguration.java,org.apache.commons.configuration2,14,0,0,0,14,100.0
BaseConfigurationBuilderProvider.java,org.apache.commons.configuration2.builder.combined,25,0,0,0,25,100.0
BaseConfigurationXMLReader.java,org.apache.commons.configuration2,9,0,1,0,10,90.0
BaseEventSource.java,org.apache.commons.configuration2.event,27,0,0,2,29,93.10344827586206
BaseHierarchicalConfiguration.java,org.apache.commons.configuration2,96,3,7,0,106,90.56603773584906
BasePathLocationStrategy.java,org.apache.commons.configuration2.io,3,0,0,0,3,100.0
BaseWebConfiguration.java,org.apache.commons.configuration2.web,8,0,0,0,8,100.0
BasicBuilderParameters.java,org.apache.commons.configuration2.builder,48,0,3,0,51,94.11764705882352
BasicConfigurationBuilder.java,org.apache.commons.configuration2.builder,66,1,2,0,69,95.65217391304348
BeanHelper.java,org.apache.commons.configuration2.beanutils,47,4,0,0,51,92.15686274509804
BuilderConfigurationWrapperFactory.java,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0
CatalogResolver.java,org.apache.commons.configuration2.resolver,25,9,27,2,63,39.682539682539684
ClasspathLocationStrategy.java,org.apache.commons.configuration2.io,2,0,0,0,2,100.0
CombinedBeanDeclaration.java,org.apache.commons.configuration2.beanutils,25,0,0,0,25,100.0
CombinedBuilderParametersImpl.java,org.apache.commons.configuration2.builder.combined,34,1,0,0,35,97.14285714285714
CombinedConfiguration.java,org.apache.commons.configuration2,116,0,7,6,129,89.92248062015504
CombinedConfigurationBuilder.java,org.apache.commons.configuration2.builder.combined,105,2,10,0,117,89.74358974358975
CombinedConfigurationBuilderProvider.java,org.apache.commons.configuration2.builder.combined,4,0,1,0,5,80.0
CombinedLocationStrategy.java,org.apache.commons.configuration2.io,5,0,0,0,5,100.0
CombinedReloadingController.java,org.apache.commons.configuration2.reloading,10,0,0,0,10,100.0
CompositeConfiguration.java,org.apache.commons.configuration2,68,3,8,0,79,86.07594936708861
ConfigurationAttributePointer.java,org.apache.commons.configuration2.tree.xpath,14,0,1,0,15,93.33333333333333
ConfigurationBuilderEvent.java,org.apache.commons.configuration2.builder,1,0,0,0,1,100.0
ConfigurationBuilderResultCreatedEvent.java,org.apache.commons.configuration2.builder,2,0,0,0,2,100.0
ConfigurationConverter.java,org.apache.commons.configuration2,8,0,0,0,8,100.0
ConfigurationDeclaration.java,org.apache.commons.configuration2.builder.combined,17,2,1,0,20,85.0
ConfigurationDynaBean.java,org.apache.commons.configuration2.beanutils,31,2,2,0,35,88.57142857142857
ConfigurationDynaClass.java,org.apache.commons.configuration2.beanutils,12,2,1,0,15,80.0
ConfigurationErrorEvent.java,org.apache.commons.configuration2.event,4,0,0,0,4,100.0
ConfigurationEvent.java,org.apache.commons.configuration2.event,4,0,0,0,4,100.0
ConfigurationInterpolator.java,org.apache.commons.configuration2.interpol,51,0,0,0,51,100.0
ConfigurationLogger.java,org.apache.commons.configuration2.io,3,0,0,0,3,100.0
ConfigurationLookup.java,org.apache.commons.configuration2,3,0,0,0,3,100.0
ConfigurationMap.java,org.apache.commons.configuration2,14,2,1,0,17,82.35294117647058
ConfigurationNodeIteratorAttribute.java,org.apache.commons.configuration2.tree.xpath,10,0,0,0,10,100.0
ConfigurationNodeIteratorBase.java,org.apache.commons.configuration2.tree.xpath,26,0,1,1,28,92.85714285714286
ConfigurationNodeIteratorChildren.java,org.apache.commons.configuration2.tree.xpath,25,0,0,0,25,100.0
ConfigurationNodePointer.java,org.apache.commons.configuration2.tree.xpath,19,2,3,0,24,79.16666666666666
ConfigurationNodePointerFactory.java,org.apache.commons.configuration2.tree.xpath,5,2,1,0,8,62.5
ConfigurationNodeVisitorAdapter.java,org.apache.commons.configuration2.tree,1,0,0,0,1,100.0
ConfigurationPropertiesFactoryBean.java,org.apache.commons.configuration2.spring,13,4,2,0,19,68.42105263157895
ConfigurationPropertySource.java,org.apache.commons.configuration2.spring,1,2,0,0,3,33.33333333333333
ConfigurationUtils.java,org.apache.commons.configuration2,48,3,3,0,54,88.88888888888889
ConfigurationXMLReader.java,org.apache.commons.configuration2,16,1,2,0,19,84.21052631578947
Configurations.java,org.apache.commons.configuration2.builder.fluent,40,0,0,0,40,100.0
ConstantLookup.java,org.apache.commons.configuration2.interpol,9,0,2,0,11,81.81818181818183
ConstructorArg.java,org.apache.commons.configuration2.beanutils,17,0,0,0,17,100.0
CopyObjectDefaultHandler.java,org.apache.commons.configuration2.builder,4,0,0,0,4,100.0
DataConfiguration.java,org.apache.commons.configuration2,110,3,10,0,123,89.43089430894308
DatabaseBuilderParametersImpl.java,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0
DatabaseConfiguration.java,org.apache.commons.configuration2,48,28,23,0,99,48.484848484848484
DefaultBeanFactory.java,org.apache.commons.configuration2.beanutils,27,0,0,0,27,100.0
DefaultConfigurationKey.java,org.apache.commons.configuration2.tree,132,2,17,8,159,83.01886792452831
DefaultConversionHandler.java,org.apache.commons.configuration2.convert,44,0,1,0,45,97.77777777777777
DefaultEntityResolver.java,org.apache.commons.configuration2.resolver,2,4,1,0,7,28.57142857142857
DefaultExpressionEngine.java,org.apache.commons.configuration2.tree,40,0,1,0,41,97.5609756097561
DefaultExpressionEngineSymbols.java,org.apache.commons.configuration2.tree,20,0,1,0,21,95.23809523809523
DefaultFileSystem.java,org.apache.commons.configuration2.io,31,11,6,0,48,64.58333333333334
DefaultListDelimiterHandler.java,org.apache.commons.configuration2.convert,22,0,0,0,22,100.0
DefaultLookups.java,org.apache.commons.configuration2.interpol,2,0,0,0,2,100.0
DefaultParametersManager.java,org.apache.commons.configuration2.builder,15,0,0,0,15,100.0
DefaultReloadingDetectorFactory.java,org.apache.commons.configuration2.builder,2,0,1,0,3,66.66666666666666
DisabledListDelimiterHandler.java,org.apache.commons.configuration2.convert,2,0,0,0,2,100.0
