Class,Package,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
AbstractCircuitBreaker.java,org.apache.commons.lang3.concurrent,14,0,0,0,14,100.0
AggregateTranslator.java,org.apache.commons.lang3.text.translate,3,0,0,0,3,100.0
AnnotationUtils.java,org.apache.commons.lang3,90,4,11,0,105,85.71428571428571
ArchUtils.java,org.apache.commons.lang3,9,1,0,0,10,90.0
ArrayUtils.java,org.apache.commons.lang3,1766,16,275,65,2122,83.22337417530632
AtomicInitializer.java,org.apache.commons.lang3.concurrent,2,0,1,0,3,66.66666666666666
AtomicSafeInitializer.java,org.apache.commons.lang3.concurrent,2,0,1,1,4,50.0
BackgroundInitializer.java,org.apache.commons.lang3.concurrent,20,0,1,1,22,90.9090909090909
BasicThreadFactory.java,org.apache.commons.lang3.concurrent,24,0,0,0,24,100.0
BitField.java,org.apache.commons.lang3,34,0,1,0,35,97.14285714285714
BooleanUtils.java,org.apache.commons.lang3,201,0,0,0,201,100.0
CallableBackgroundInitializer.java,org.apache.commons.lang3.concurrent,5,0,0,0,5,100.0
CharEncoding.java,org.apache.commons.lang3,4,0,0,0,4,100.0
CharRange.java,org.apache.commons.lang3,67,0,6,2,75,89.33333333333333
CharSequenceTranslator.java,org.apache.commons.lang3.text.translate,19,0,4,3,26,73.07692307692307
CharSequenceUtils.java,org.apache.commons.lang3,76,3,10,0,89,85.39325842696628
CharSet.java,org.apache.commons.lang3,41,0,2,0,43,95.34883720930233
CharSetUtils.java,org.apache.commons.lang3,41,0,0,0,41,100.0
CharUtils.java,org.apache.commons.lang3,81,0,0,0,81,100.0
ClassPathUtils.java,org.apache.commons.lang3,4,0,0,0,4,100.0
ClassUtils.java,org.apache.commons.lang3,246,12,7,1,266,92.4812030075188
CodePointTranslator.java,org.apache.commons.lang3.text.translate,2,0,0,0,2,100.0
CompareToBuilder.java,org.apache.commons.lang3.builder,202,20,9,0,231,87.44588744588745
CompositeFormat.java,org.apache.commons.lang3.text,5,0,0,0,5,100.0
ConcurrentUtils.java,org.apache.commons.lang3.concurrent,39,0,0,0,39,100.0
ConstantInitializer.java,org.apache.commons.lang3.concurrent,9,0,1,0,10,90.0
ConstructorUtils.java,org.apache.commons.lang3.reflect,22,0,1,0,23,95.65217391304348
ContextedException.java,org.apache.commons.lang3.exception,9,0,1,0,10,90.0
ContextedRuntimeException.java,org.apache.commons.lang3.exception,9,0,1,0,10,90.0
Conversion.java,org.apache.commons.lang3,658,1,131,0,790,83.29113924050633
DateFormatUtils.java,org.apache.commons.lang3.time,15,1,0,0,16,93.75
DateUtils.java,org.apache.commons.lang3.time,212,7,8,11,238,89.07563025210085
DefaultExceptionContext.java,org.apache.commons.lang3.exception,15,0,4,0,19,78.94736842105263
Diff.java,org.apache.commons.lang3.builder,3,0,0,0,3,100.0
DiffBuilder.java,org.apache.commons.lang3.builder,133,1,31,0,165,80.60606060606061
DiffResult.java,org.apache.commons.lang3.builder,15,0,0,0,15,100.0
DurationFormatUtils.java,org.apache.commons.lang3.time,134,11,6,5,156,85.8974358974359
EntityArrays.java,org.apache.commons.lang3.text.translate,2,0,11,0,13,15.384615384615385
EnumUtils.java,org.apache.commons.lang3,57,0,1,0,58,98.27586206896551
EqualsBuilder.java,org.apache.commons.lang3.builder,233,21,10,0,264,88.25757575757575
EventCountCircuitBreaker.java,org.apache.commons.lang3.concurrent,35,0,5,3,43,81.3953488372093
EventListenerSupport.java,org.apache.commons.lang3.event,14,0,1,0,15,93.33333333333333
EventUtils.java,org.apache.commons.lang3.event,9,0,0,0,9,100.0
ExceptionUtils.java,org.apache.commons.lang3.exception,79,6,16,0,101,78.21782178217822
ExtendedMessageFormat.java,org.apache.commons.lang3.text,69,8,8,18,103,66.99029126213593
FastDateFormat.java,org.apache.commons.lang3.time,38,3,1,0,42,90.47619047619048
FastDateParser.java,org.apache.commons.lang3.time,179,3,13,8,203,88.17733990147784
FastDatePrinter.java,org.apache.commons.lang3.time,202,12,48,11,273,73.992673992674
FastTimeZone.java,org.apache.commons.lang3.time,18,0,0,0,18,100.0
