Class,Package,KILLED,NO_COVERAGE,RUN_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
Abs.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
AbstractConvergenceChecker.java,org.apache.commons.math4.optim,2,0,0,0,0,2,100.0
AbstractCurveFitter.java,org.apache.commons.math4.fitting,14,0,0,0,0,14,100.0
AbstractEvaluation.java,org.apache.commons.math4.fitting.leastsquares,13,0,0,0,0,13,100.0
AbstractFieldIntegrator.java,org.apache.commons.math4.ode,47,2,0,9,6,64,73.4375
AbstractFieldMatrix.java,org.apache.commons.math4.linear,310,40,0,70,1,421,73.63420427553444
AbstractFieldStepInterpolator.java,org.apache.commons.math4.ode.sampling,7,0,0,0,0,7,100.0
AbstractIntegerDistribution.java,org.apache.commons.math4.distribution,31,11,0,19,2,63,49.2063492063492
AbstractIntegrator.java,org.apache.commons.math4.ode,68,1,0,9,8,86,79.06976744186046
AbstractListChromosome.java,org.apache.commons.math4.genetics,0,5,0,0,0,5,0.0
AbstractMultipleLinearRegression.java,org.apache.commons.math4.stat.regression,54,1,0,7,0,62,87.09677419354838
AbstractMultivariateRealDistribution.java,org.apache.commons.math4.distribution,6,0,0,1,0,7,85.71428571428571
AbstractOptimizationProblem.java,org.apache.commons.math4.optim,3,0,0,0,0,3,100.0
AbstractParameterizable.java,org.apache.commons.math4.ode,8,1,0,0,0,9,88.88888888888889
AbstractPolynomialSolver.java,org.apache.commons.math4.analysis.solvers,2,0,0,0,0,2,100.0
AbstractRealDistribution.java,org.apache.commons.math4.distribution,29,20,0,11,2,62,46.774193548387096
AbstractRealMatrix.java,org.apache.commons.math4.linear,319,42,0,50,0,411,77.61557177615572
AbstractSimplex.java,org.apache.commons.math4.optim.nonlinear.scalar.noderiv,66,2,0,4,2,74,89.1891891891892
AbstractStepInterpolator.java,org.apache.commons.math4.ode.sampling,64,5,0,8,1,78,82.05128205128204
AbstractStorelessUnivariateStatistic.java,org.apache.commons.math4.stat.descriptive,24,0,0,3,0,27,88.88888888888889
AbstractUnivariateDifferentiableSolver.java,org.apache.commons.math4.analysis.solvers,3,0,0,0,0,3,100.0
AbstractUnivariateStatistic.java,org.apache.commons.math4.stat.descriptive,4,12,0,0,0,16,25.0
Acos.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Acosh.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
AdamsBashforthFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,24,1,0,14,9,48,50.0
AdamsBashforthIntegrator.java,org.apache.commons.math4.ode.nonstiff,47,4,0,22,13,86,54.65116279069767
AdamsFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,3,0,0,0,0,3,100.0
AdamsFieldStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,13,1,0,2,0,16,81.25
AdamsIntegrator.java,org.apache.commons.math4.ode.nonstiff,3,0,0,0,0,3,100.0
AdamsMoultonFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,26,1,0,16,9,52,50.0
AdamsMoultonIntegrator.java,org.apache.commons.math4.ode.nonstiff,45,4,0,25,18,92,48.91304347826087
AdamsNordsieckFieldTransformer.java,org.apache.commons.math4.ode.nonstiff,0,69,0,0,0,69,0.0
AdamsNordsieckTransformer.java,org.apache.commons.math4.ode.nonstiff,99,1,0,0,0,100,99.0
AdaptiveStepsizeFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,24,9,0,13,3,49,48.97959183673469
AdaptiveStepsizeIntegrator.java,org.apache.commons.math4.ode.nonstiff,50,2,0,14,14,80,62.5
Add.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
AggregateSummaryStatistics.java,org.apache.commons.math4.stat.descriptive,36,17,0,6,0,59,61.016949152542374
AgrestiCoullInterval.java,org.apache.commons.math4.stat.interval,17,0,0,0,0,17,100.0
AkimaSplineInterpolator.java,org.apache.commons.math4.analysis.interpolation,97,0,0,6,0,103,94.1747572815534
AnyMatrix.java,org.apache.commons.math4.linear,9,0,0,0,0,9,100.0
ArgUtils.java,org.apache.commons.math4.exception.util,9,0,0,0,0,9,100.0
Array2DRowFieldMatrix.java,org.apache.commons.math4.linear,134,8,0,32,0,174,77.01149425287356
Array2DRowRealMatrix.java,org.apache.commons.math4.linear,172,0,0,29,0,201,85.57213930348259
ArrayFieldVector.java,org.apache.commons.math4.linear,177,40,0,73,0,290,61.03448275862069
ArrayRealVector.java,org.apache.commons.math4.linear,293,5,0,35,0,333,87.98798798798799
Asin.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Asinh.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Atan.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Atan2.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
Atanh.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
BOBYQAOptimizer.java,org.apache.commons.math4.optim.nonlinear.scalar.noderiv,1008,175,0,351,29,1563,64.49136276391555
BaseAbstractUnivariateIntegrator.java,org.apache.commons.math4.analysis.integration,14,1,0,3,0,18,77.77777777777779
BaseAbstractUnivariateSolver.java,org.apache.commons.math4.analysis.solvers,21,1,0,1,1,24,87.5
BaseMultiStartMultivariateOptimizer.java,org.apache.commons.math4.optim,0,35,0,0,0,35,0.0
BaseMultivariateOptimizer.java,org.apache.commons.math4.optim,28,0,0,1,0,29,96.55172413793103
BaseOptimizer.java,org.apache.commons.math4.optim,14,3,0,0,0,17,82.35294117647058
BaseRuleFactory.java,org.apache.commons.math4.analysis.integration.gauss,13,0,0,0,0,13,100.0
BaseSecantSolver.java,org.apache.commons.math4.analysis.solvers,40,0,0,15,0,55,72.72727272727273
BesselJ.java,org.apache.commons.math4.special,240,12,0,115,1,368,65.21739130434783
BiDiagonalTransformer.java,org.apache.commons.math4.linear,213,3,0,9,0,225,94.66666666666667
BicubicInterpolatingFunction.java,org.apache.commons.math4.analysis.interpolation,111,0,0,0,0,111,100.0
BicubicInterpolator.java,org.apache.commons.math4.analysis.interpolation,35,0,0,6,1,42,83.33333333333334
BigReal.java,org.apache.commons.math4.util,15,2,0,2,0,19,78.94736842105263
BigRealField.java,org.apache.commons.math4.util,5,0,0,0,0,5,100.0
BinaryChromosome.java,org.apache.commons.math4.genetics,16,1,0,1,1,19,84.21052631578947
BinaryMutation.java,org.apache.commons.math4.genetics,3,0,0,0,0,3,100.0
BinomialTest.java,org.apache.commons.math4.stat.inference,31,0,0,3,2,36,86.11111111111111
BisectionSolver.java,org.apache.commons.math4.analysis.solvers,5,0,0,3,0,8,62.5
