Kind,Name,File,Knots
Public Constructor,org.apache.commons.configuration2.AbstractConfiguration.AbstractConfiguration(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.addErrorLogListener(),AbstractConfiguration.java,0
Lambda Method,org.apache.commons.configuration2.AbstractConfiguration.addErrorLogListener.(lambda_expr_1)(T (inferred)),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.addProperty(String,Object)",AbstractConfiguration.java,0
Protected Abstract Method,"org.apache.commons.configuration2.AbstractConfiguration.addPropertyDirect(String,Object)",AbstractConfiguration.java,0
Protected Method,"org.apache.commons.configuration2.AbstractConfiguration.addPropertyInternal(String,Object)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.append(Configuration),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.beginRead(boolean),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.beginWrite(boolean),AbstractConfiguration.java,0
Private Static Method,"org.apache.commons.configuration2.AbstractConfiguration.checkDefaultValueArray(Class<?>,Object)",AbstractConfiguration.java,0
Private Static Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.checkNonNullValue(String,T)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.clear(),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.clearInternal(),AbstractConfiguration.java,1
Public Method,org.apache.commons.configuration2.AbstractConfiguration.clearProperty(String),AbstractConfiguration.java,0
Protected Abstract Method,org.apache.commons.configuration2.AbstractConfiguration.clearPropertyDirect(String),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.cloneInterpolator(AbstractConfiguration),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.containsKey(String),AbstractConfiguration.java,0
Protected Abstract Method,org.apache.commons.configuration2.AbstractConfiguration.containsKeyInternal(String),AbstractConfiguration.java,0
Private Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.convert(Class<T>,String,T,boolean)",AbstractConfiguration.java,2
Private Method,"org.apache.commons.configuration2.AbstractConfiguration.convertToArray(Class<?>,String,Object)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.copy(Configuration),AbstractConfiguration.java,0
Private Method,org.apache.commons.configuration2.AbstractConfiguration.encodeForCopy(Object),AbstractConfiguration.java,1
Private Method,org.apache.commons.configuration2.AbstractConfiguration.encodeListForCopy(Collection<?>),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.endRead(),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.endWrite(),AbstractConfiguration.java,0
Private Method,org.apache.commons.configuration2.AbstractConfiguration.findConfigurationLookup(ConfigurationInterpolator),AbstractConfiguration.java,0
Private Static Method,"org.apache.commons.configuration2.AbstractConfiguration.findConfigurationLookup(ConfigurationInterpolator,ImmutableConfiguration)",AbstractConfiguration.java,4
Public Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.get(Class<T>,String)",AbstractConfiguration.java,0
Public Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.get(Class<T>,String,T)",AbstractConfiguration.java,0
Private Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.getAndConvertProperty(Class<T>,String,T)",AbstractConfiguration.java,1
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getArray(Class<?>,String)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getArray(Class<?>,String,Object)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getBigDecimal(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getBigDecimal(String,BigDecimal)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getBigInteger(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getBigInteger(String,BigInteger)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String,Boolean)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String,boolean)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getByte(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getByte(String,Byte)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getByte(String,byte)",AbstractConfiguration.java,0
Public Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.getCollection(Class<T>,String,Collection<T>)",AbstractConfiguration.java,0
Public Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.getCollection(Class<T>,String,Collection<T>,Collection<T>)",AbstractConfiguration.java,1
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getConfigurationDecoder(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getConversionHandler(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getDouble(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String,Double)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String,double)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getEncodedString(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getEncodedString(String,ConfigurationDecoder)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getFloat(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String,Float)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String,float)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getInt(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getInt(String,int)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getInteger(String,Integer)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getInterpolator(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getKeys(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getKeys(String),AbstractConfiguration.java,0
Protected Abstract Method,org.apache.commons.configuration2.AbstractConfiguration.getKeysInternal(),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.getKeysInternal(String),AbstractConfiguration.java,0
Public Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.getList(Class<T>,String)",AbstractConfiguration.java,0
Public Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.getList(Class<T>,String,List<T>)",AbstractConfiguration.java,1
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getList(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getList(String,List<?>)",AbstractConfiguration.java,11
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getListDelimiterHandler(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getLogger(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getLong(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getLong(String,Long)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getLong(String,long)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getProperties(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getProperties(String,Properties)",AbstractConfiguration.java,4
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getProperty(String),AbstractConfiguration.java,0
Protected Abstract Method,org.apache.commons.configuration2.AbstractConfiguration.getPropertyInternal(String),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getShort(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getShort(String,Short)",AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getShort(String,short)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getString(String),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.getString(String,String)",AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getStringArray(String),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.getSynchronizer(),AbstractConfiguration.java,0
Private Static Generic Method,"org.apache.commons.configuration2.AbstractConfiguration.handleDefaultCollection(Collection<T>,Collection<T>)",AbstractConfiguration.java,2
Public Method,org.apache.commons.configuration2.AbstractConfiguration.immutableSubset(String),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.initLogger(ConfigurationLogger),AbstractConfiguration.java,0
Private Method,org.apache.commons.configuration2.AbstractConfiguration.installDefaultInterpolator(),AbstractConfiguration.java,0
Public Method,"org.apache.commons.configuration2.AbstractConfiguration.installInterpolator(Map<String,? extends Lookup>,Collection<? extends Lookup>)",AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.interpolate(Object),AbstractConfiguration.java,0
Protected Method,org.apache.commons.configuration2.AbstractConfiguration.interpolate(String),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.interpolatedConfiguration(),AbstractConfiguration.java,0
Public Method,org.apache.commons.configuration2.AbstractConfiguration.isEmpty(),AbstractConfiguration.java,0
